ID,Title,Beginning Date,Culture,Country,Medium,Classificatiion
328909,"Cuneiform tablet case impressed with cylinder seal, for cuneiform tablet 11.217.7a: record of the account of Bamu",-2048,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322451,Cuneiform tablet: record of the account of Bamu,-2048,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322456,Cuneiform tablet: record of bovine disbursements,-2045,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322464,Cuneiform tablet: inventory,-2045,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322453,Cuneiform tablet: receipt of a goat,-2044,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
328908,"Cuneiform tablet case impressed with cylinder seal, for cuneiform tablet 11.217.9a: receipt of a goat",-2044,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322461,Cuneiform tablet: receipt of cattle,-2043,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322473,"Cuneiform tablet: account of expenditures, record of deliveries of animals for the festival of sowing seed",-2043,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
327593,Cuneiform tablet: animal account,-2042,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
324586,Cuneiform tablet impressed with cylinder seal: record concerning laborers needed for irrigation work,-2042,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
324536,Cuneiform tablet impressed with cylinder seal: record of irrigation work,-2042,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322463,Cuneiform tablet: receipt of lambs,-2041,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322462,Cuneiform tablet: receipt of an ox and lambs,-2041,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322457,Cuneiform tablet: receipt of a bull and sheep,-2041,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322446,Cuneiform tablet: receipt of cattle,-2041,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
325267,Cuneiform tablet impressed with cylinder seal: receipt of a dead sheep,-2041,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322454,Cuneiform tablet: receipt of sheep and goats,-2040,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322465,Cuneiform tablet: receipt of oxen and sheep,-2040,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
321822,Cuneiform tablet: receipt of reeds,-2040,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
324588,Cuneiform tablet impressed with cylinder seal: receipt of goats,-2040,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322450,Cuneiform tablet: balanced account of Shu-ili,-2040,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
328896,"Cuneiform tablet case impressed with cylinder seal, for cuneiform tablet 86.11.246a: receipt of reeds",-2040,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
321823,Cuneiform tablet: receipt of straw,-2040,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
325715,Cuneiform tablet impressed with cylinder seal: deliveries of oxen,-2040,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
328895,"Cuneiform tablet case impressed with cylinder seal, for cuneiform tablet 86.11.248a: receipt of straw",-2040,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322447,Cuneiform tablet: balanced account of Dugga,-2039,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322469,Cuneiform tablet: receipt of a kid,-2039,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322455,Cuneiform tablet: receipt of two lambs,-2038,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
322471,Cuneiform tablet: balanced account of Kaamu,-2038,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
323828,Cuneiform tablet impressed with cylinder seal: record of harvest workers,-2037,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
324590,Cuneiform tablet: messenger tablet,-2034,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
577168,"Relief Fragment of Khety, from Inscription in Sculptured Corridor",-2030,,Egypt,"Limestone, paint",
545457,Papyrus fragment,-2030,,Egypt,"Papyrus, ink",
321820,Cuneiform tablet impressed with cylinder seal: balanced account of barley,-2029,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
321819,Cuneiform tablet impressed with cylinder seal: shipment of barley,-2029,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
327069,"Cuneiform tablet: record of rations of beer, bread, oil, and onions for messengers",-2028,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
324591,Cuneiform tablet: messenger tablet,-2027,Neo-Sumerian,,Clay,Clay-Tablets-Inscribed
323756,Inscribed brick,-2000,Babylonian,,"Ceramic, glaze",Ceramics-Architectural-Inscribed
321953,Cuneiform tablet: field sale,-2000,Babylonian,,Clay,Clay-Tablets-Inscribed
321951,Cuneiform tablet: beer rations,-2000,Babylonian,,Clay,Clay-Tablets-Inscribed
321952,Cuneiform tablet impressed with cylinder seal impression: field sale,-2000,Babylonian,,Clay,Clay-Tablets-Inscribed-Seal Impressions
322466,Cuneiform tablet: label,-2000,Babylonian,,Clay,Clay-Tablets-Inscribed
324587,Cuneiform tablet: multiplication table,-2000,Babylonian,,Clay,Clay-Tablets-Inscribed
322460,Cuneiform tablet: ration list,-2000,Babylonian,,Clay,Clay-Tablets-Inscribed
322449,Cuneiform tablet: ration list,-2000,Babylonian,,Clay,Clay-Tablets-Inscribed
322470,Cuneiform tablet: ration list,-2000,Babylonian,,Clay,Clay-Tablets-Inscribed
321878,Cuneiform tablet: student exercise tablet,-2000,Babylonian,,Clay,Clay-Tablets-Inscribed
328905,"Cuneiform tablet case impressed with two cylinder seals, for cuneiform tablet 66.245.5a: record of a lawsuit",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
325858,Cuneiform tablet: loan of silver,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325857,Cuneiform tablet: quittance for a loan in silver,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325851,Cuneiform tablet: caravan account,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
328901,"Cuneiform tablet case impressed with four cylinder seals in Assyrian and Anatolian styles, for cuneiform tablet 66.245.17a: loan of silver",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
325846,Cuneiform tablet: record of a lawsuit,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
328902,"Cuneiform tablet case impressed with four cylinder seals in Anatolian and Old Assyrian style, for cuneiform tablet 66.245.16a: quittance for a loan in silver",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
325849,Cuneiform tablet: private letter,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
326712,Cuneiform tablet with a small second tablet: private letter,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
326373,Cuneiform tablet case impressed with cylinder seal in Anatolian style,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
328894,"Cuneiform tablet case impressed with cylinder seal, for cuneiform tablets 1983.135.4a, b: private letter",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
325842,Cuneiform tablet: private letter,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
328903,"Cuneiform tablet case impressed with four cylinder seals, for cuneiform tablet 66.245.15a: quittance",-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed-Seal Impressions
324805,Cuneiform tablet: private letter fragment,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
325850,Cuneiform tablet: private letter,-2000,Old Assyrian Trading Colony,,Clay,Clay-Tablets-Inscribed
